key,year,city,country,query,lat,lon,provider,status,timestamp
1896|Athens|Greece,1896,Athens,Greece,"Athens, Greece",37.9755648,23.7348324,nominatim,ok,2025-11-25T17:55:04.898Z
1900|Paris|France,1900,Paris,France,"Paris, France",48.8534951,2.3483915,nominatim,ok,2025-11-25T17:55:06.527Z
1904|St. Louis|United States,1904,St. Louis,United States,"Saint Louis, United States",38.6280278,-90.1910154,nominatim,ok,2025-11-25T17:55:07.703Z
1908|London|United Kingdom,1908,London,United Kingdom,"London, United Kingdom",51.5074456,-0.1277653,nominatim,ok,2025-11-25T17:55:08.881Z
1912|Stockholm|Sweden,1912,Stockholm,Sweden,"Stockholm, Sweden",59.3251172,18.0710935,nominatim,ok,2025-11-25T17:55:10.010Z
1916|Berlin|Germany,1916,Berlin,Germany,"Berlin, Germany",52.5173885,13.3951309,nominatim,ok,2025-11-25T17:55:11.125Z
1920|Antwerp|Belgium,1920,Antwerp,Belgium,"Antwerp, Belgium",51.2211097,4.3997081,nominatim,ok,2025-11-25T17:55:12.240Z
1924|Chamonix|France,1924,Chamonix,France,"Chamonix, France",45.9246705,6.8727506,nominatim,ok,2025-11-25T17:55:13.345Z
1924|Paris|S008 VIII,1924,Paris,S008 VIII,"Paris, France",48.8534951,2.3483915,nominatim,ok,2025-11-25T17:55:14.475Z
1928|St. Moritz|Switzerland,1928,St. Moritz,Switzerland,"Saint Moritz, Switzerland",46.4978958,9.8392428,nominatim,ok,2025-11-25T17:55:15.625Z
1928|Amsterdam|Netherlands,1928,Amsterdam,Netherlands,"Amsterdam, Netherlands",52.3730796,4.8924534,nominatim,ok,2025-11-25T17:55:16.732Z
1932|Lake Placid|United States,1932,Lake Placid,United States,"Lake Placid, New York, United States",44.2831194,-73.9828318,nominatim,ok,2025-11-25T17:55:17.849Z
1932|Los Angeles|S010 X,1932,Los Angeles,S010 X,"Los Angeles, United States",34.0536909,-118.242766,nominatim,ok,2025-11-25T17:55:18.972Z
1936|Garmisch-Partenkirchen|Germany,1936,Garmisch-Partenkirchen,Germany,"Garmisch-Partenkirchen, Germany",47.4923741,11.0962815,nominatim,ok,2025-11-25T17:55:20.172Z
1936|Berlin|S011 XI,1936,Berlin,S011 XI,"Berlin, Germany",52.5173885,13.3951309,nominatim,ok,2025-11-25T17:55:21.302Z
1940|Sapporo Garmisch-Partenkirchen|Japan Germany,1940,Sapporo Garmisch-Partenkirchen,Japan Germany,"Sapporo, Japan",43.061936,141.3542924,nominatim,ok,2025-11-25T17:55:22.496Z
1944|Cortina d'Ampezzo|Italy,1944,Cortina d'Ampezzo,Italy,"Cortina d'Ampezzo, Italy",46.5383332,12.1373506,nominatim,ok,2025-11-25T17:55:23.666Z
1948|St. Moritz|Switzerland,1948,St. Moritz,Switzerland,"Saint Moritz, Switzerland",46.4978958,9.8392428,nominatim,ok,2025-11-25T17:55:24.780Z
1948|London|United Kingdom,1948,London,United Kingdom,"London, United Kingdom",51.5074456,-0.1277653,nominatim,ok,2025-11-25T17:55:25.900Z
1952|Oslo|Norway,1952,Oslo,Norway,"Oslo, Norway",59.9133301,10.7389701,nominatim,ok,2025-11-25T17:55:27.420Z
1952|Helsinki|Finland,1952,Helsinki,Finland,"Helsinki, Finland",60.1698897,24.9384719,nominatim,ok,2025-11-25T17:55:28.675Z
