Year,City,Country,source_table,Closing ceremony,Firstyear,Lastyear,Opening ceremony,Ref.,Region,Summer,Summer Olympics,Total,Winter,Winter Olympics,extra_9
Greece,,Athens,wikitable,6 April 1896,,,,15 April 1896,1896,Europe,,,S005 I,,
France,,Paris,wikitable,28 October 1900,,,14 May 1900,,1900,S005 II,,,,,
United States,,St. Louis [ a ],wikitable,1 July 1904,,,,23 November 1904,1904,North America,,,S005 III,,
United Kingdom,,London [ b ],wikitable,27 April 1908,,,,31 October 1908,1908,Europe,,,S005 IV,,
Sweden,,Stockholm,wikitable,22 July 1912,,,6 July 1912,,1912,S005 V,,,,,
Germany,†,Berlin,wikitable,[ 11 ],,,Cancelled due to WWI,,1916,S006 VI,,,,,
Belgium,,Antwerp [ c ],wikitable,12 September 1920,,,14 August 1920,[ 12 ],1920,S007 VII,,,,,
France,,Chamonix,wikitable,5 February 1924,,,25 January 1924,[ 13 ],1924,,,,W001 I,,
S008 VIII,,Paris,wikitable,,,,[ 14 ],,,5 July 1924,,,27 July 1924,,
Switzerland,,St. Moritz,wikitable,19 February 1928,,,11 February 1928,[ 15 ],1928,,,,W002 II,,
Netherlands,,Amsterdam,wikitable,[ 16 ],,,12 August 1928,,S009 IX,,,,28 July 1928,,
United States,,Lake Placid,wikitable,4 February 1932,,,W003 III,13 February 1932,1932,North America,,,,,[ 17 ]
S010 X,,Los Angeles,wikitable,,,,[ 18 ],,,30 July 1932,,,14 August 1932,,
Germany,,Garmisch-Partenkirchen,wikitable,6 February 1936,,,W004 IV,16 February 1936,1936,Europe,,,,,[ 19 ]
S011 XI,,Berlin,wikitable,,,,[ 20 ],,,1 August 1936,,,16 August 1936,,
Japan Germany,†,Sapporo Garmisch-Partenkirchen [ d ],wikitable,Cancelled due to WWII,,,V W005a,[ 11 ],1940,Asia Europe,,,,,
Japan Finland,†,Tokyo Helsinki [ e ],wikitable,,,,,,XII,,,,,,
Italy,†,Cortina d'Ampezzo,wikitable,,,,V,,1944,Europe,,,,,
United Kingdom,†,London,wikitable,,,,,,XIII S013,,,,,,
Switzerland,,St. Moritz,wikitable,8 February 1948,,,30 January 1948,,1948,,,,W005c V,,
United Kingdom,,London,wikitable,,,,14 August 1948,,S014 XIV,,,,29 July 1948,,
